"",""
"Action","Action"
"Add Imageupload","Add Imageupload"
"Add imageupload","Add imageupload"
"Add","Add"
"Allow Comments","Allow Comments"
"Allow guest comments","Allow guest comments"
"An error occurred while updating the imageuploads.","An error occurred while updating the imageuploads."
"Approved","Approved"
"Are you sure?","Are you sure?"
"CSV","CSV"
"Change status","Change status"
"Comment can't be empty","Comment can't be empty"
"Comment title can't be empty","Comment title can't be empty"
"Comment was successfully deleted.","Comment was successfully deleted."
"Comment was successfully saved","Comment was successfully saved"
"Comment","Comment"
"Comments","Comments"
"Could not find comment to delete.","Could not find comment to delete."
"Could not find imageupload to delete.","Could not find imageupload to delete."
"Created at","Created at"
"Customer profile","Customer profile"
"Data cannot be null","Data cannot be null"
"Delete Imageupload comment","Delete Imageupload comment"
"Delete Imageupload","Delete Imageupload"
"Delete","Delete"
"Disabled","Disabled"
"Edit Imageupload '%s'","Edit Imageupload '%s'"
"Edit Imageupload comment '%s'","Edit Imageupload comment '%s'"
"Edit","Edit"
"Enable rss","Enable rss"
"Enabled","Enabled"
"Error saving imageupload","Error saving imageupload"
"Error while removing imageupload. Details in error message.","Error while removing imageupload. Details in error message."
"Error while saving imageupload. Details in error message.","Error while saving imageupload. Details in error message."
"Excel","Excel"
"Guest comments are not allowed","Guest comments are not allowed"
"Home","Home"
"Id","Id"
"Imageupload API","Imageupload API"
"Imageupload Comment","Imageupload Comment"
"Imageupload Comments","Imageupload Comments"
"Imageupload comment","Imageupload comment"
"Imageupload was saved","Imageupload was saved"
"Imageupload was successfully deleted.","Imageupload was successfully deleted."
"Imageupload was successfully saved","Imageupload was successfully saved"
"Imageupload","Imageupload"
"Imageuploader","Imageuploader"
"Imageuploads","Imageuploads"
"Info","Info"
"Leave empty for no prefix","Leave empty for no prefix"
"Leave empty to use default URL module/controller/action","Leave empty to use default URL module/controller/action"
"List","List"
"Meta description for imageuploads list page","Meta description for imageuploads list page"
"Meta information","Meta information"
"Meta keywords for imageuploads list page","Meta keywords for imageuploads list page"
"Meta title for imageuploads list page","Meta title for imageuploads list page"
"Meta","Meta"
"Meta-description","Meta-description"
"Meta-keywords","Meta-keywords"
"Meta-title","Meta-title"
"My Imageupload Comments","My Imageupload Comments"
"My Imageuploads comment view","My Imageuploads comment view"
"No","No"
"None","None"
"On %s you wrote:","On %s you wrote:"
"Pending","Pending"
"Please select comments to delete.","Please select comments to delete."
"Please select comments.","Please select comments."
"Please select imageuploads to delete.","Please select imageuploads to delete."
"Please select imageuploads.","Please select imageuploads."
"Poster e-mail","Poster e-mail"
"Poster name","Poster name"
"Product does not exist.","Product does not exist."
"Provided data is invalid.","Provided data is invalid."
"Rejected","Rejected"
"Relative to Website Base URL","Relative to Website Base URL"
"Remove imageupload","Remove imageupload"
"Remove","Remove"
"Requested imageupload does not exist.","Requested imageupload does not exist."
"Reset","Reset"
"Retrieve imageupload info","Retrieve imageupload info"
"Retrieve list of imageuploads","Retrieve list of imageuploads"
"Save And Continue Edit","Save And Continue Edit"
"Save Imageupload comment","Save Imageupload comment"
"Save Imageupload","Save Imageupload"
"Show in rss","Show in rss"
"Status","Status"
"Store views","Store views"
"The URL key cannot consist only of numbers.","The URL key cannot consist only of numbers."
"The URL key contains capital letters or disallowed symbols.","The URL key contains capital letters or disallowed symbols."
"The imageuploads has been deleted.","The imageuploads has been deleted."
"There was a problem saving the comment.","There was a problem saving the comment."
"There was a problem saving the imageupload.","There was a problem saving the imageupload."
"There was an error deleting comments.","There was an error deleting comments."
"There was an error deleting imageupload.","There was an error deleting imageupload."
"There was an error deleting imageuploads.","There was an error deleting imageuploads."
"There was an error deleting the comment.","There was an error deleting the comment."
"There was an error updating comments.","There was an error updating comments."
"There was an error updating imageuploads.","There was an error updating imageuploads."
"This comment no longer exists.","This comment no longer exists."
"This imageupload does not allow comments","This imageupload does not allow comments"
"This imageupload no longer exists.","This imageupload no longer exists."
"Title","Title"
"Total of %d comments were successfully deleted.","Total of %d comments were successfully deleted."
"Total of %d comments were successfully updated.","Total of %d comments were successfully updated."
"Total of %d imageuploads were successfully deleted.","Total of %d imageuploads were successfully deleted."
"Total of %d imageuploads were successfully updated.","Total of %d imageuploads were successfully updated."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"URL key already exists.","URL key already exists."
"URL key for list page","URL key for list page"
"URL key","URL key"
"URL prefix","URL prefix"
"URL suffix","URL suffix"
"Unable to find comment to save.","Unable to find comment to save."
"Unable to find imageupload to save.","Unable to find imageupload to save."
"Unable to post the comment.","Unable to post the comment."
"Update Imageupload Status","Update Imageupload Status"
"Update imageupload","Update imageupload"
"Update status","Update status"
"Update","Update"
"Updated at","Updated at"
"Use Breadcrumbs","Use Breadcrumbs"
"Use default config","Use default config"
"View Details","View Details"
"WYSIWYG Editor","WYSIWYG Editor"
"What goes after the dot. Leave empty for no suffix.","What goes after the dot. Leave empty for no suffix."
"XML","XML"
"Yes","Yes"
"You have submitted no comments for imageuploads.","You have submitted no comments for imageuploads."
"Your comment has been accepted for moderation.","Your comment has been accepted for moderation."
"Your name can't be empty","Your name can't be empty"
"imageupload","imageupload"